Ultra: L,55.00
Ultra: R,26.29
Ultra: L,54.48
Ultra: R,26.33
Ultra: L,53.62
Ultra: R,26.33
Ultra: L,54.90
Ultra: R,25.55
Ultra: L,54.50
Ultra: R,26.33
Ultra: L,55.00
Ultra: R,25.47
Ultra: L,54.90
Ultra: R,26.43
Ultra: L,55.00
Ultra: R,26.33
Ultra: L,53.66
Ultra: R,26.43
Ultra: L,53.64
Ultra: R,26.43
Ultra: L,54.50
Ultra: R,27.21
Ultra: L,55.86
Ultra: R,26.33
Ultra: L,53.62
Ultra: R,26.43
Ultra: L,54.48
Ultra: R,26.33
Ultra: L,54.50
Ultra: R,27.21
Ultra: L,55.00
Ultra: R,26.43
Ultra: L,54.98
Ultra: R,26.33
Ultra: L,55.86
Ultra: R,26.33
Ultra: L,55.00
Ultra: R,26.43
Ultra: L,55.00
Ultra: R,26.34
Ultra: L,55.00
Ultra: R,26.43
Ultra: L,55.00
Ultra: R,26.45
Ultra: L,55.02
Ultra: R,26.33
Ultra: L,55.00
Ultra: R,26.43
Ultra: L,55.00
Ultra: R,26.45
Ultra: L,55.88
Ultra: R,26.33
Ultra: L,54.97
Ultra: R,26.43
Ultra: L,55.00
Ultra: R,26.43
Ultra: L,55.88
Ultra: R,26.31
Ultra: L,54.90
Ultra: R,26.43
Ultra: L,55.88
Ultra: R,26.43
Ultra: L,55.00
Ultra: R,26.33
Ultra: L,54.90
Ultra: R,25.55
Ultra: L,55.00
Ultra: R,26.33
Ultra: L,54.50
Ultra: R,26.33
Ultra: L,55.76
Ultra: R,25.55
Ultra: L,55.88
Ultra: R,26.33
Ultra: L,55.86
Ultra: R,26.33
Ultra: L,55.78
Ultra: R,25.55
Ultra: L,54.50
Ultra: R,26.33
Ultra: L,55.02
Ultra: R,25.45
Ultra: L,54.93
Ultra: R,25.55
Ultra: L,55.02
Ultra: R,25.45
Ultra: L,55.00
Ultra: R,26.33
Ultra: L,55.00
Ultra: R,26.43
Ultra: L,55.88
Ultra: R,25.45
Ultra: L,55.86
Ultra: R,25.47
Ultra: L,55.00
Ultra: R,26.43
Ultra: L,55.00
Ultra: R,26.33
Ultra: L,55.88
Ultra: R,26.33
Ultra: L,55.00
Ultra: R,26.43
Ultra: L,55.00
Ultra: R,25.45
Ultra: L,55.00
Ultra: R,26.43
Ultra: L,55.00
Ultra: R,25.55
Ultra: L,55.88
Ultra: R,25.47
Ultra: L,55.88
Ultra: R,25.55
Ultra: L,55.00
Ultra: R,25.55
Ultra: L,55.86
Ultra: R,25.45
Ultra: L,54.98
Ultra: R,25.55
Ultra: L,54.98
Ultra: R,26.43
Ultra: L,55.00
